Campaign,Ad Group,Type,Keyword,Match Type,Max CPC,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Daily Budget,Bid Strategy,Target CPA
Brand Defense,AO Brand,SEARCH,[ao ai solutions],Exact,2.00,https://aoaisolutions.dev/ai-audit,AO AI Solutions,AI-Powered Business Systems,Free AI Audit — DC Area,Washington DC AI Company,See Our Results,,,,,,,,,,,AI websites + lead automation for DC businesses. Book a free 30-min audit.,See exactly how much revenue you're leaving on the table. No pitch. Results in 24 hrs.,,,$5.00,Target CPA,$75.00
Brand Defense,AO Brand,SEARCH,[aoaisolutions],Exact,2.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$5.00,Target CPA,$75.00
Brand Defense,AO Brand,SEARCH,[aoaisolutions.dev],Exact,2.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$5.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[ai website company washington dc],Exact,8.00,https://aoaisolutions.dev/ai-audit,AI Website Company DC,AI-Powered Websites — DC Area,Free AI Audit — See Your ROI,DC's #1 AI Web Agency,Get AI Website in 48 Hours,Lead Capture Runs 24/7,No More Missed Leads,DC Business AI Systems,Convert More Website Visitors,AI Chatbot + Lead Automation,Proven DC Results,Book Free 30-Min Audit,AI Website for Law Firms,AI Website for Medical Practices,Results in 48 Hours,"Get an AI-powered website that captures leads, follows up automatically, and runs 24/7. Free audit.","DC businesses using our AI systems see 3x more lead capture. Book a free 30-minute audit today.","We build AI websites, chatbots, and automation for DC professionals. See results in 48 hours.","No pitch — just a 30-minute session showing exactly what AI can do for your business. Book now.",$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"ai powered website washington dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[ai website builder dc],Exact,6.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"intelligent website dc",Phrase,6.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[ai chatbot for business dc],Exact,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"business automation washington dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[ai lead generation dc],Exact,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"lead automation software dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[crm automation washington dc],Exact,6.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"ai business systems dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[ai consultant washington dc],Exact,6.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"automate my business dc",Phrase,6.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[small business ai tools dc],Exact,5.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"ai for small business washington dc",Phrase,5.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,[after hours lead capture system],Exact,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
AI Website DC,AI Website General,SEARCH,"24/7 lead capture website dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,[ai for law firms dc],Exact,12.00,https://aoaisolutions.dev/ai-audit,AI for DC Law Firms,Automate Client Intake,Free AI Audit — Law Firms,312% More Consultations,Never Miss a Lead After Hours,AI Chatbot for Law Firms,Client Intake Automation DC,Law Firm AI — DC Area,24/7 Lead Capture for Attorneys,Book More Consultations,AI-Powered Law Firm Website,Legal Intake Automation,Law Firm Technology DC,Convert More Inquiries,Results in 48 Hours,"DC law firms using our AI intake system book 312% more consultations. Free 30-min audit — book now.","Automate client intake, 24/7 lead capture, and follow-up for your DC law firm. Results in 48 hours.","Stop losing potential clients after 5pm. Our AI responds instantly and books consultations automatically.","Free AI audit for DC law firms — we'll identify 3 automation opportunities and deliver your action plan in 24 hrs.",$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,"legal intake automation dc",Phrase,10.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,[law firm chatbot washington dc],Exact,10.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,"client intake software law firm dc",Phrase,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,[automate law firm intake dc],Exact,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,"law firm ai tools",Phrase,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,[attorney lead generation dc],Exact,10.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,"legal crm automation washington",Phrase,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,[law firm marketing automation dc],Exact,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,"after hours intake law firm",Phrase,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,[potential client follow up law firm],Exact,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,"law firm website lead capture",Phrase,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,[law firm crm dc],Exact,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,"small law firm technology dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Law Firm AI,Law Firm Intake,SEARCH,[law firm website dc],Exact,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$15.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,[ai for medical practice dc],Exact,12.00,https://aoaisolutions.dev/ai-audit,AI for DC Medical Practices,Automate Patient Booking,Free AI Audit — Medical Offices,40+ Weekly Bookings Automated,Never Miss a Patient Call Again,AI Booking System DC,Medical Practice Automation,24/7 Patient Scheduling AI,Med Spa Automation DC,Dental Practice AI System,Online Booking Automation,Practice Management AI,Reduce Front Desk Burden,AI Patient Follow-Up System,No Extra Staff Needed,"DC medical practices using our AI scheduling system book 40+ appointments per week automatically.","Automate patient booking, follow-up, and reminders. Your AI receptionist works 24/7 — no extra staff.","Stop losing patients to voicemail. Our AI responds in under 60 seconds and books appointments automatically.","Free AI audit for medical, dental, and med spa practices in the DC area. Results delivered in 24 hours.",$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,"medical practice automation dc",Phrase,10.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,[dental office automation washington dc],Exact,10.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,"med spa booking system dc",Phrase,10.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,[online patient booking dc],Exact,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,"ai receptionist medical office",Phrase,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,[patient scheduling automation dc],Exact,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,"medical office chatbot dc",Phrase,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,[healthcare ai tools dc],Exact,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,"medical spa technology dc",Phrase,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,[dentist appointment automation dc],Exact,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,"reduce front desk workload medical",Phrase,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,[medical practice crm dc],Exact,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,"patient follow up automation dc",Phrase,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Medical Dental AI,Medical Booking,SEARCH,[missed call follow up medical],Exact,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$12.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,[ai for contractors dc],Exact,10.00,https://aoaisolutions.dev/ai-audit,AI for DC Contractors,Capture After-Hours Leads,Free AI Audit — Contractors,3x More After-Hours Leads,Never Miss a Roofing/HVAC Lead,AI Lead Capture Contractors,24/7 Lead Response System,Contractor Website AI DC,HVAC Lead Automation DC,Roofing Lead System DC,Stop Missing After-Hours Calls,AI Estimating Follow-Up,Contractor CRM Automation,Book More Jobs Automatically,Results in 48 Hours,"NoVA and DC contractors using our AI capture 3x more after-hours leads. Free audit — see your numbers.","Your AI system responds to every inquiry in 60 seconds — even at 2am when competitors go to voicemail.","Stop losing jobs to faster-responding competitors. Our AI captures, qualifies, and follows up 24/7.","Free AI audit for contractors in the DC, Maryland, and Virginia area. Action plan delivered in 24 hours.",$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,"contractor lead capture system dc",Phrase,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,[hvac lead generation dc],Exact,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,"roofing lead system nova",Phrase,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,[contractor website dc],Exact,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,"after hours lead capture contractor",Phrase,9.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,[home services lead automation dc],Exact,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,"missed call text back contractor",Phrase,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,[contractor crm system dc],Exact,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,"hvac chatbot northern virginia",Phrase,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,[electrician lead generation dc],Exact,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,"plumber lead automation dc",Phrase,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,[home improvement lead capture nova],Exact,7.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,"contractor website with chatbot",Phrase,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
Contractor AI,Contractor Lead Capture,SEARCH,[fast lead response system contractor],Exact,8.00,https://aoaisolutions.dev/ai-audit,,,,,,,,,,,,,,,,,,,,,$8.00,Target CPA,$75.00
